object,time,zone,speed,risk
Human,Night,Z1,3.17,Low
Human,Night,Z1,2.66,Low
Vehicle,Night,Z2,7.46,Medium
Vehicle,Night,Z2,3.95,Medium
Human,Night,Z3,2.35,High
Animal,Day,Z1,0.51,Low
Human,Day,Z1,1.23,Low
Vehicle,Night,Z3,7.49,High
Human,Night,Z2,1.64,Medium
Vehicle,Day,Z1,5.76,Low
Animal,Day,Z2,0.92,Low
Human,Day,Z2,3.05,Medium
Human,Night,Z3,0.83,High
Vehicle,Night,Z1,2.42,Low
Human,Day,Z1,1.15,Low
Animal,Day,Z3,3.14,Medium
Vehicle,Day,Z2,4.88,Medium
Vehicle,Day,Z2,4.03,Medium
Human,Day,Z1,0.86,Low
Animal,Day,Z3,2.22,Medium
Human,Day,Z2,0.94,Medium
Animal,Day,Z3,2.67,Medium
Animal,Day,Z2,0.95,Low
Animal,Day,Z2,1.08,Low
Human,Night,Z2,3.31,Medium
Human,Day,Z3,2.64,Low
Human,Day,Z2,2.16,Medium
Animal,Day,Z3,0.99,Medium
Human,Day,Z2,3.31,Medium
Human,Day,Z1,3.35,Low
Human,Night,Z2,1.25,Medium
Animal,Day,Z1,1.42,Low
Human,Night,Z2,2.48,Medium
