object,time,zone,speed,risk
Animal,Day,Z1,2.64,Low
Vehicle,Night,Z1,3.88,Low
Vehicle,Night,Z3,2.93,High
Human,Day,Z1,1.6,Low
Human,Day,Z3,1.54,Low
Animal,Day,Z2,3.6,Low
Human,Day,Z2,2.04,Medium
Vehicle,Night,Z1,4.5,Low
Human,Night,Z2,1.68,Medium
Animal,Night,Z1,1.53,Low
Vehicle,Day,Z1,2.78,Low
Animal,Day,Z1,0.67,Low
Human,Day,Z1,1.09,Low
Animal,Night,Z2,3.13,Low
Vehicle,Night,Z1,5.19,Low
Human,Day,Z3,0.61,Low
Human,Day,Z1,2.68,Low
Human,Night,Z2,2.9,Medium
Human,Day,Z1,1.88,Low
Vehicle,Day,Z3,7.51,High
Human,Day,Z1,1.11,Low
Animal,Day,Z1,3.1,Low
Human,Day,Z1,1.95,Low
Human,Night,Z2,1.21,Medium
Human,Night,Z1,2.44,Low
Human,Day,Z2,2.72,Medium
Animal,Day,Z1,0.89,Low
Animal,Night,Z1,1.47,Low
Animal,Day,Z1,3.53,Low
Animal,Day,Z3,1.21,Medium
Vehicle,Night,Z1,2.63,Low
Human,Night,Z3,0.97,High
Human,Night,Z3,1.18,High
Human,Night,Z3,0.74,High
Vehicle,Day,Z1,3.43,Low
Human,Day,Z2,0.96,Medium
Vehicle,Day,Z2,4.88,Medium
Vehicle,Night,Z2,7.46,Medium
Human,Night,Z1,3.28,Low
Animal,Day,Z1,2.39,Low
Animal,Day,Z1,2.44,Low
Human,Night,Z3,1.76,High
Animal,Day,Z3,2.48,Medium
Vehicle,Day,Z3,5.63,High
Human,Day,Z2,0.63,Medium
Animal,Day,Z2,1.59,Low
Human,Night,Z2,2.18,Medium
Animal,Day,Z2,1.63,Low
Human,Day,Z1,2.85,Low
Vehicle,Day,Z2,5.35,Medium
Human,Day,Z1,3.35,Low
Human,Night,Z1,1.2,Low
Human,Day,Z1,1.77,Low
Animal,Day,Z1,1.98,Low
Vehicle,Night,Z2,7.79,Medium
Animal,Day,Z1,1.12,Low
Animal,Day,Z1,1.17,Low
Human,Day,Z2,2.84,Medium
Animal,Night,Z1,2.05,Low
Vehicle,Day,Z2,2.05,Medium
Human,Day,Z1,1.36,Low
Vehicle,Night,Z1,2.48,Low
Human,Day,Z2,3.3,Medium
Human,Day,Z3,1.89,Low
Vehicle,Day,Z2,4.52,Medium
Human,Day,Z1,1.31,Low
Vehicle,Night,Z2,2.65,Medium
Human,Night,Z2,2.73,Medium
Human,Night,Z1,1.94,Low
Human,Night,Z2,2.48,Medium
Human,Day,Z3,1.68,Low
Human,Day,Z2,2.93,Medium
Human,Day,Z3,3.17,Low
Animal,Night,Z3,3.53,Medium
Human,Night,Z3,1.61,High
Animal,Day,Z2,2.54,Low
Vehicle,Night,Z3,7.49,High
Animal,Night,Z2,3.0,Low
Animal,Night,Z3,1.24,Medium
Human,Night,Z1,0.55,Low
Human,Day,Z3,2.12,Low
Animal,Night,Z2,2.32,Low
Animal,Night,Z3,2.31,Medium
Animal,Night,Z1,2.69,Low
Human,Night,Z2,3.32,Medium
Vehicle,Day,Z1,7.12,Low
Human,Day,Z2,1.76,Medium
Animal,Day,Z2,1.94,Low
Human,Day,Z1,0.86,Low
Vehicle,Day,Z1,3.4,Low
Animal,Day,Z1,3.01,Low
Human,Day,Z1,1.55,Low
Animal,Day,Z2,0.95,Low
Vehicle,Night,Z1,5.12,Low
Vehicle,Night,Z1,4.34,Low
Human,Day,Z1,0.76,Low
Vehicle,Day,Z2,4.34,Medium
Human,Night,Z3,1.17,High
Vehicle,Day,Z3,4.3,High
Vehicle,Day,Z2,7.47,Medium
Human,Day,Z1,2.47,Low
Human,Day,Z2,1.69,Medium
Vehicle,Night,Z3,6.89,High
Animal,Day,Z1,2.4,Low
Animal,Night,Z3,0.84,Medium
Animal,Night,Z3,1.62,Medium
Animal,Day,Z3,3.49,Medium
Animal,Night,Z2,3.53,Low
Animal,Day,Z1,2.74,Low
Vehicle,Day,Z1,5.23,Low
Human,Day,Z2,2.18,Medium
Human,Day,Z2,0.94,Medium
Human,Night,Z2,3.14,Medium
Human,Day,Z3,2.27,Low
Human,Night,Z3,1.1,High
Human,Night,Z2,3.02,Medium
Animal,Day,Z2,2.24,Low
Animal,Day,Z3,2.51,Medium
Human,Night,Z3,2.35,High
Vehicle,Night,Z3,7.21,High
Animal,Night,Z3,1.21,Medium
Human,Night,Z1,2.55,Low
Human,Day,Z2,0.87,Medium
Human,Night,Z1,3.37,Low
Animal,Night,Z2,3.72,Low
Human,Day,Z2,3.3,Medium
Human,Night,Z2,2.23,Medium
Animal,Day,Z2,3.1,Low
Animal,Day,Z3,3.14,Medium
Animal,Night,Z2,0.75,Low
Vehicle,Day,Z1,6.58,Low
Human,Day,Z1,3.37,Low
Animal,Day,Z1,0.92,Low
Animal,Day,Z3,1.17,Medium
Animal,Night,Z2,1.11,Low
Vehicle,Night,Z2,2.75,Medium
Human,Day,Z3,2.23,Low
Human,Night,Z1,2.58,Low
Vehicle,Day,Z1,2.91,Low
Human,Night,Z3,1.62,High
Vehicle,Day,Z2,6.78,Medium
Animal,Day,Z1,1.62,Low
Animal,Day,Z3,2.71,Medium
Vehicle,Night,Z1,4.09,Low
Vehicle,Day,Z3,7.01,High
Vehicle,Day,Z3,3.29,High
Human,Day,Z3,2.09,Low
Animal,Night,Z3,2.74,Medium
Animal,Day,Z2,3.03,Low
Human,Day,Z1,1.37,Low
Vehicle,Day,Z1,4.21,Low
Animal,Day,Z2,1.72,Low
Animal,Day,Z2,1.27,Low
Human,Night,Z1,2.38,Low
Animal,Day,Z2,1.07,Low
Human,Day,Z3,3.48,Low
Human,Night,Z2,1.47,Medium
Animal,Day,Z1,1.95,Low
Vehicle,Day,Z2,3.33,Medium
Animal,Night,Z2,1.74,Low
Human,Night,Z1,3.29,Low
Animal,Day,Z1,1.35,Low
Vehicle,Day,Z2,5.51,Medium
Vehicle,Day,Z3,3.87,High
Animal,Night,Z3,1.86,Medium
Vehicle,Night,Z3,4.23,High
Human,Night,Z2,1.44,Medium
Animal,Day,Z1,2.32,Low
Human,Day,Z1,1.33,Low
Animal,Day,Z1,2.05,Low
Animal,Day,Z1,3.79,Low
Animal,Day,Z1,1.3,Low
Animal,Night,Z3,2.3,Medium
Vehicle,Day,Z3,4.88,High
Human,Day,Z2,2.99,Medium
Vehicle,Day,Z2,6.23,Medium
Human,Day,Z1,1.18,Low
Animal,Day,Z1,1.55,Low
Human,Day,Z3,3.22,Low
Human,Night,Z2,0.59,Medium
Human,Night,Z1,2.38,Low
Animal,Night,Z2,1.88,Low
Human,Day,Z1,1.12,Low
Human,Day,Z1,0.58,Low
Vehicle,Day,Z1,3.67,Low
Animal,Night,Z2,2.68,Low
Human,Night,Z2,0.58,Medium
Animal,Night,Z1,2.08,Low
Vehicle,Night,Z2,6.36,Medium
Human,Day,Z1,1.6,Low
Vehicle,Night,Z1,3.78,Low
Animal,Night,Z1,2.1,Low
Animal,Day,Z2,3.21,Low
Human,Day,Z1,1.27,Low
Animal,Day,Z2,1.07,Low
Animal,Day,Z3,2.67,Medium
Human,Day,Z2,0.63,Medium
Vehicle,Night,Z3,3.65,High
Animal,Night,Z2,1.22,Low
Human,Day,Z3,0.58,Low
Human,Day,Z1,1.22,Low
Vehicle,Night,Z1,3.09,Low
Human,Day,Z3,2.15,Low
Animal,Day,Z2,1.24,Low
Human,Night,Z1,3.17,Low
Animal,Night,Z3,1.94,Medium
Human,Day,Z3,1.12,Low
Animal,Day,Z2,2.99,Low
Vehicle,Day,Z3,3.94,High
Animal,Night,Z2,1.65,Low
Vehicle,Day,Z1,7.89,Low
Human,Day,Z2,2.98,Medium
Animal,Day,Z2,2.12,Low
Animal,Night,Z2,0.89,Low
Human,Night,Z1,2.52,Low
Human,Night,Z1,1.58,Low
Animal,Day,Z2,2.08,Low
Vehicle,Day,Z2,3.42,Medium
Animal,Night,Z2,1.06,Low
Vehicle,Night,Z1,3.45,Low
Human,Day,Z1,1.73,Low
Animal,Night,Z3,3.8,Medium
Vehicle,Night,Z3,6.3,High
Human,Day,Z1,2.18,Low
Vehicle,Day,Z1,3.61,Low
Human,Day,Z3,3.44,Low
Animal,Night,Z2,0.61,Low
Human,Day,Z1,1.41,Low
Human,Day,Z3,1.06,Low
Animal,Day,Z3,2.03,Medium
Human,Night,Z1,2.6,Low
Vehicle,Day,Z2,4.03,Medium
Animal,Day,Z3,1.95,Medium
